feature,importance
Online Boarding,0.20415052494305713
In-flight Wifi Service,0.15781487268426916
Class,0.13146047940984992
Type of Travel,0.10855255826561412
In-flight Entertainment,0.06578012591014624
Seat Comfort,0.0457010073670873
Leg Room Service,0.040050071591997805
Ease of Online Booking,0.039316136536545386
Customer Type,0.03845060081134103
On-board Service,0.02916549981906613
Cleanliness,0.024820642251750305
Baggage Handling,0.020999086224314886
Age,0.016120914816323995
Flight Distance,0.01596233268081309
In-flight Service,0.014789957433603345
Check-in Service,0.014542734377972495
Departure and Arrival Time Convenience,0.010610874629848143
Food and Drink,0.007585356157339804
Gate Location,0.006568246844928408
Arrival Delay,0.003780601835187766
Departure Delay,0.0022989362281402503
Gender,0.0014784391808032192
